Time,FT1,FT2,FT3,FT4,FT5,FT6
11:06:33:55791,-0.052,-0.216,-0.06,-0.01,0.003,-0.005
11:06:33:60962,0.036,-0.23,-0.246,-0.009,0.003,-0.004
11:06:33:66097,0.046,-0.232,-0.295,-0.008,0.003,-0.004
11:06:33:71265,-0.041,-0.202,-0.303,-0.008,0.005,-0.004
11:06:33:76451,-0.117,-0.17,-0.344,-0.008,0.006,-0.004
11:06:33:81536,-0.152,-0.145,-0.477,-0.007,0.007,-0.003
11:06:33:86613,-0.101,-0.174,-0.521,-0.006,0.007,-0.003
11:06:33:91776,-0.079,-0.214,-0.452,-0.006,0.007,-0.003
11:06:33:96939,-0.111,-0.262,-0.322,-0.008,0.008,-0.004
11:06:33:102090,-0.154,-0.279,-0.278,-0.009,0.009,-0.004
11:06:33:107255,-0.202,-0.299,-0.213,-0.011,0.01,-0.006
11:06:33:112425,-0.221,-0.323,-0.109,-0.012,0.011,-0.007
11:06:33:117603,-0.234,-0.373,0.088,-0.013,0.011,-0.009
11:06:33:122714,-0.214,-0.399,0.117,-0.014,0.012,-0.01
11:06:33:127861,-0.182,-0.385,-0.017,-0.014,0.012,-0.009
11:06:33:133014,-0.143,-0.336,-0.329,-0.014,0.013,-0.006
11:06:33:138159,-0.146,-0.313,-0.481,-0.014,0.013,-0.005
11:06:33:143311,-0.191,-0.327,-0.498,-0.015,0.014,-0.005
11:06:33:148475,-0.23,-0.353,-0.417,-0.015,0.015,-0.006
11:06:33:153638,-0.26,-0.364,-0.358,-0.016,0.016,-0.007
11:06:33:158711,-0.238,-0.328,-0.463,-0.015,0.016,-0.006
11:06:33:163835,-0.215,-0.303,-0.533,-0.015,0.016,-0.005
11:06:33:168943,-0.21,-0.288,-0.494,-0.015,0.016,-0.005
11:06:33:174109,-0.231,-0.285,-0.407,-0.014,0.016,-0.006
11:06:33:179272,-0.261,-0.275,-0.336,-0.013,0.016,-0.006
11:06:33:184432,-0.254,-0.27,-0.35,-0.013,0.015,-0.006
11:06:33:189511,-0.199,-0.282,-0.376,-0.012,0.015,-0.006
11:06:33:194584,-0.144,-0.302,-0.364,-0.013,0.015,-0.005
11:06:33:199741,-0.141,-0.307,-0.361,-0.013,0.015,-0.005
11:06:33:204814,-0.191,-0.297,-0.361,-0.013,0.016,-0.004
11:06:33:209889,-0.226,-0.285,-0.337,-0.013,0.016,-0.004
11:06:33:214986,-0.228,-0.267,-0.296,-0.012,0.017,-0.004
11:06:33:220495,-0.204,-0.257,-0.324,-0.012,0.018,-0.004
11:06:33:225657,-0.182,-0.251,-0.463,-0.013,0.02,-0.003
11:06:33:230770,-0.198,-0.257,-0.547,-0.014,0.02,-0.003
11:06:33:235942,-0.239,-0.281,-0.548,-0.014,0.02,-0.003
11:06:33:241040,-0.245,-0.303,-0.464,-0.013,0.02,-0.003
11:06:33:246224,-0.216,-0.288,-0.434,-0.012,0.02,-0.002
11:06:33:251390,-0.155,-0.204,-0.428,-0.01,0.02,-0.002
11:06:33:256479,-0.127,-0.134,-0.419,-0.009,0.02,-0.001
11:06:33:261562,-0.114,-0.083,-0.421,-0.008,0.02,0
11:06:33:266653,-0.105,-0.101,-0.472,-0.009,0.02,0
11:06:33:271753,-0.078,-0.133,-0.552,-0.009,0.02,0
11:06:33:276969,-0.017,-0.139,-0.611,-0.007,0.018,0.001
11:06:33:282127,0.006,-0.077,-0.506,-0.004,0.014,0.002
11:06:33:287286,-0.037,-0.027,-0.369,-0.002,0.014,0.002
11:06:33:292433,-0.074,-0.029,-0.356,-0.002,0.015,0.001
11:06:33:297600,-0.086,-0.059,-0.433,-0.003,0.016,0
11:06:33:302900,-0.064,-0.074,-0.455,-0.004,0.016,0
11:06:33:308054,-0.038,-0.082,-0.359,-0.005,0.016,-0.001
11:06:33:313212,-0.062,-0.092,-0.234,-0.008,0.017,-0.001
11:06:33:318384,-0.097,-0.103,-0.233,-0.01,0.019,-0.002
11:06:33:323543,-0.139,-0.11,-0.343,-0.01,0.021,-0.002
11:06:33:328637,-0.154,-0.098,-0.413,-0.009,0.022,-0.001
11:06:33:333810,-0.176,-0.05,-0.423,-0.007,0.023,0
11:06:33:338935,-0.195,-0.007,-0.376,-0.007,0.023,0.002
11:06:33:344067,-0.2,0.049,-0.283,-0.006,0.024,0.003
11:06:33:349226,-0.151,0.073,-0.189,-0.006,0.024,0.004
11:06:33:354399,-0.1,0.065,-0.126,-0.005,0.023,0.004
11:06:33:359566,-0.039,0.032,-0.042,-0.004,0.021,0.005
11:06:33:364698,-0.02,0.014,-0.038,-0.002,0.019,0.007
11:06:33:369869,-0.03,0.029,-0.108,-0.001,0.018,0.009
11:06:33:375038,-0.076,0.083,-0.265,0,0.018,0.011
11:06:33:380612,-0.12,0.119,-0.31,0.001,0.018,0.011
11:06:33:385791,-0.185,0.147,-0.19,0.002,0.019,0.009
11:06:33:390875,-0.207,0.154,-0.009,0.003,0.021,0.005
11:06:33:396042,-0.19,0.167,-0.013,0.003,0.021,0.004
11:06:33:401162,-0.158,0.196,-0.149,0.004,0.022,0.004
11:06:33:406310,-0.114,0.255,-0.415,0.005,0.022,0.005
11:06:33:411460,-0.107,0.3,-0.46,0.007,0.022,0.005
11:06:33:416552,-0.139,0.315,-0.235,0.009,0.021,0.003
11:06:33:421710,-0.174,0.315,-0.017,0.01,0.02,0.002
11:06:33:426864,-0.212,0.312,0.198,0.011,0.019,0.001
11:06:33:431959,-0.247,0.319,0.432,0.012,0.018,0.002
11:06:33:437115,-0.231,0.342,0.442,0.012,0.017,0.005
11:06:33:442276,-0.202,0.356,0.325,0.013,0.016,0.007
11:06:33:447445,-0.174,0.359,0.108,0.013,0.015,0.011
11:06:33:452615,-0.184,0.354,0.006,0.013,0.014,0.014
11:06:33:457784,-0.201,0.355,0.012,0.012,0.014,0.015
11:06:33:462947,-0.224,0.347,0.079,0.011,0.015,0.017
11:06:33:468115,-0.241,0.32,0.136,0.011,0.016,0.017
11:06:33:473289,-0.277,0.261,0.201,0.01,0.017,0.017
11:06:33:478464,-0.31,0.23,0.233,0.009,0.019,0.015
11:06:33:483637,-0.366,0.21,0.32,0.008,0.022,0.012
11:06:33:488721,-0.419,0.205,0.462,0.007,0.025,0.008
11:06:33:493827,-0.44,0.209,0.5,0.006,0.025,0.006
11:06:33:499036,-0.434,0.243,0.349,0.006,0.025,0.006
11:06:33:504196,-0.407,0.285,0.162,0.007,0.025,0.007
11:06:33:509364,-0.347,0.341,-0.026,0.008,0.025,0.01
11:06:33:514446,-0.288,0.355,0.01,0.009,0.024,0.01
11:06:33:519608,-0.255,0.357,0.086,0.01,0.022,0.01
11:06:33:524728,-0.229,0.379,0.117,0.012,0.02,0.011
11:06:33:529815,-0.212,0.462,0.03,0.015,0.018,0.013
11:06:33:534932,-0.222,0.534,-0.08,0.017,0.016,0.017
11:06:33:540095,-0.242,0.522,-0.063,0.018,0.015,0.018
11:06:33:545257,-0.272,0.412,0.093,0.018,0.015,0.018
11:06:33:550437,-0.284,0.329,0.188,0.017,0.015,0.017
11:06:33:555601,-0.299,0.274,0.173,0.015,0.016,0.016
11:06:33:560674,-0.321,0.277,0.078,0.013,0.017,0.015
11:06:33:565859,-0.386,0.273,-0.037,0.01,0.018,0.013
11:06:33:571024,-0.469,0.221,-0.022,0.009,0.02,0.011
11:06:33:576175,-0.503,0.182,0.017,0.009,0.021,0.01
11:06:33:581304,-0.493,0.158,0.007,0.008,0.022,0.009
11:06:33:586468,-0.458,0.156,-0.039,0.008,0.022,0.009
11:06:33:591629,-0.409,0.14,-0.033,0.007,0.022,0.008
11:06:33:596711,-0.385,0.119,0.06,0.006,0.021,0.007
11:06:33:601782,-0.344,0.117,0.197,0.006,0.02,0.007
11:06:33:606936,-0.287,0.171,0.141,0.006,0.018,0.008
11:06:33:612098,-0.255,0.215,0.044,0.007,0.015,0.01
11:06:33:617266,-0.22,0.251,0.013,0.008,0.011,0.012
11:06:33:622437,-0.187,0.256,0.078,0.008,0.009,0.013
11:06:33:627528,-0.12,0.261,0.116,0.01,0.007,0.015
11:06:33:632612,-0.105,0.258,0,0.012,0.006,0.017
11:06:33:637779,-0.159,0.231,-0.053,0.012,0.007,0.018
11:06:33:642878,-0.297,0.163,0.029,0.01,0.009,0.016
11:06:33:648047,-0.369,0.132,0.113,0.009,0.011,0.014
11:06:33:653198,-0.397,0.149,0.059,0.008,0.014,0.012
11:06:33:658353,-0.384,0.184,-0.093,0.008,0.016,0.013
11:06:33:663521,-0.389,0.201,-0.23,0.008,0.018,0.013
11:06:33:668603,-0.435,0.137,0.004,0.007,0.019,0.011
11:06:33:673780,-0.464,0.072,0.305,0.007,0.018,0.008
11:06:33:678867,-0.475,0.004,0.663,0.007,0.018,0.004
11:06:33:684023,-0.472,-0.004,0.723,0.007,0.018,0.003
11:06:33:689149,-0.48,0.022,0.598,0.007,0.019,0.004
11:06:33:694293,-0.496,0.05,0.47,0.006,0.019,0.004
11:06:33:699468,-0.504,0.076,0.31,0.005,0.019,0.005
11:06:33:704547,-0.471,0.061,0.213,0.004,0.019,0.006
11:06:33:709695,-0.442,0.028,0.2,0.003,0.019,0.007
11:06:33:714842,-0.415,-0.021,0.253,0.001,0.019,0.007
11:06:33:720008,-0.406,-0.037,0.292,-0.001,0.02,0.007
